Job,Department,Organization Group,Overtime,Total Salary,Total Benefits,Total Compensation
Health Worker 2,Public Health,Community Health,0.0,11836.0,3311.81,15147.81
Licensed Vocational Nurse,Public Health,Community Health,0.0,6754.64,1878.52,8633.16
Landscape Architect Assoc 2,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,77039.0,21327.6,98366.6
Executive Secretary 1,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,93016.7,26368.53,119385.23
General Laborer,Department Of Public Works,"Public Works, Transportation & Commerce",5462.42,56458.51,14826.13,71284.64
Sewer Maintenance Worker,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,97140.96,27368.33,124509.29
Engineer,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,180874.27,48101.37,228975.64
Assistant Engineer,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,132184.21,37102.15,169286.36
Surgical Procedures Technician,Public Health,Community Health,12716.86,92080.33,23225.64,115305.97
Health Worker 1,Public Health,Community Health,893.88,64362.61,12664.79,77027.4
Dietitian,Public Health,Community Health,0.0,88503.37,15616.72,104120.09
Patient Care Assistant,Public Health,Community Health,0.0,19791.87,1510.94,21302.81
Assistant Storekeeper,Public Health,Community Health,19486.05,71397.74,17844.19,89241.93
Health Program Coordinator 2,Public Health,Community Health,0.0,82477.44,12793.56,95271.0
Public Health Nurse,Public Health,Community Health,0.0,142664.16,15898.18,158562.34
PS Aide to Prof,Public Health,Community Health,2660.24,35862.74,3759.73,39622.47
Special Nurse,Public Health,Community Health,810.22,17948.84,691.53,18640.37
Special Nurse,Public Health,Community Health,1121.85,76496.15,5809.89,82306.04
Sr Payroll & Personnel Clerk,Public Health,Community Health,4318.31,59116.31,15676.98,74793.29
Institution Utility Worker,Public Health,Community Health,0.0,23540.0,7396.52,30936.52
Health Worker 1,Public Health,Community Health,332.05,23067.81,7028.77,30096.58
Clinical Psychologist,Public Health,Community Health,0.0,41483.52,11356.73,52840.25
Registered Nurse,Public Health,Community Health,4379.24,26651.58,6440.34,33091.92
Manager II,Public Health,Community Health,0.0,20769.24,8030.92,28800.16
Landscape Architect Assoc 1,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,189329.01,49976.0,239305.01
Landscape Architect,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,170267.07,45838.23,216105.3
Eng/Arch/Landscape Arch Sr,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,199334.4,52086.49,251420.89
Project Manager 4,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,262678.22,65724.91,328403.13
Pr Administrative Analyst,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,154692.23,42733.56,197425.79
General Laborer,Department Of Public Works,"Public Works, Transportation & Commerce",2124.28,14597.74,3612.68,18210.42
Attorney (Civil/Criminal),District Attorney,Public Protection,0.0,179129.33,48913.79,228043.12
Diagnostic Imaging Assistant,Public Health,Community Health,5692.36,90507.06,24381.47,114888.53
Nurse Practitioner,Public Health,Community Health,620.4,179709.66,48308.39,228018.05
Sen Hospital Eligibility Wrkr,Public Health,Community Health,0.0,82262.0,14014.75,96276.75
Nurse Practitioner,Public Health,Community Health,45641.63,186138.77,40557.59,226696.36
Registered Nurse,Public Health,Community Health,18890.56,168164.14,39452.1,207616.24
Special Nurse,Public Health,Community Health,13985.92,182515.6,13488.91,196004.51
Medical Evaluations Assistant,Public Health,Community Health,2072.35,52638.25,14548.86,67187.11
Accountant III,Public Health,Community Health,0.0,114147.93,32095.51,146243.44
Special Nurse,Public Health,Community Health,2281.96,36136.07,2799.97,38936.04
Food Service Worker,Public Health,Community Health,2924.5,61197.6,18692.59,79890.19
Registered Nurse,Public Health,Community Health,5238.82,192702.22,44928.21,237630.43
Physical Therapist,Public Health,Community Health,0.0,120678.91,34043.01,154721.92
Health Worker 2,Public Health,Community Health,0.0,69849.74,19885.79,89735.53
Pr Administrative Analyst,Public Health,Community Health,0.0,127900.21,36074.99,163975.2
Speech Pathologist,Public Health,Community Health,0.0,117067.2,31142.08,148209.28
Special Nurse,Public Health,Community Health,0.0,9703.02,2307.95,12010.97
Patient Care Assistant,Public Health,Community Health,19713.07,82320.41,21223.17,103543.58
Medical Social Worker,Public Health,Community Health,0.0,110131.9,30983.88,141115.78
Physician Assistant,Public Health,Community Health,14021.32,219307.35,52722.06,272029.41
Manager II,Public Health,Community Health,0.0,145045.25,51634.75,196680.0
Nurse Practitioner,Public Health,Community Health,0.0,248500.8,62286.25,310787.05
"Manager, Dept Public Health",Public Health,Community Health,0.0,206227.09,68854.41,275081.5
Diagnostic Imaging Assistant,Public Health,Community Health,3687.28,57781.44,15628.95,73410.39
Registered Nurse,Public Health,Community Health,25258.29,187893.12,44635.1,232528.22
"Radiologic Tech I, II, III",Public Health,Community Health,9583.24,159304.85,42911.76,202216.61
Medical Evaluations Assistant,Public Health,Community Health,15.47,76247.39,21533.28,97780.67
Patient Care Assistant,Public Health,Community Health,47280.02,128036.52,26354.57,154391.09
Nurse Practitioner,Public Health,Community Health,0.0,223578.2,57292.5,280870.7
IT Operations Support Admin II,Public Health,Community Health,8549.94,91802.81,24127.02,115929.83
Dep Dir III,Public Health,Community Health,0.0,223174.4,69282.68,292457.08
Special Nurse,Public Health,Community Health,0.0,15579.57,3850.09,19429.66
PS Aide to Prof,Public Health,Community Health,943.61,30923.11,3823.15,34746.26
Special Nurse,Public Health,Community Health,2791.35,34949.06,2662.24,37611.3
Registered Nurse,Public Health,Community Health,29287.54,200735.41,48228.69,248964.1
Special Nurse,Public Health,Community Health,1823.1,39685.34,3030.65,42715.99
Registered Nurse,Public Health,Community Health,1046.1,183042.2,48464.09,231506.29
Health Care Analyst,Public Health,Community Health,0.0,110984.52,31241.9,142226.42
Health Worker 2,Public Health,Community Health,0.0,76579.01,21672.78,98251.79
Health Worker 2,Public Health,Community Health,667.78,78886.86,22060.59,100947.45
Nurse Manager,Public Health,Community Health,5733.07,171729.57,36243.51,207973.08
IS Business Analyst,Public Health,Community Health,0.0,119642.8,33663.26,153306.06
Physical Therapist,Public Health,Community Health,0.0,113183.92,30891.85,144075.77
Registered Nurse,Public Health,Community Health,14605.52,154935.22,38273.25,193208.47
Health Worker 2,Public Health,Community Health,0.0,17145.94,4993.01,22138.95
Physician Specialist,Public Health,Community Health,0.0,175046.64,46459.02,221505.66
"Radiologic Tech I, II, III",Public Health,Community Health,16028.43,139035.59,35820.9,174856.49
Assistant Storekeeper,Public Health,Community Health,283.95,1348.76,104.69,1453.45
PS Aide to Prof,Public Health,Community Health,1757.03,44343.02,10615.11,54958.13
Registered Nurse,Public Health,Community Health,17480.8,168278.06,41390.61,209668.67
Physical Therapist Assistant,Public Health,Community Health,214.95,112030.15,31529.69,143559.84
Food Service Worker,Public Health,Community Health,1498.61,34169.74,12202.32,46372.06
Porter,Public Health,Community Health,27094.9,97182.74,21927.15,119109.89
Hospital Eligibility Worker,Public Health,Community Health,12.75,85479.49,23791.33,109270.82
Senior Clerk,Public Health,Community Health,43.12,71619.86,20080.89,91700.75
Special Nurse,Public Health,Community Health,5992.44,32005.07,2462.1,34467.17
Accountant III,Public Health,Community Health,0.0,116102.12,32287.95,148390.07
Sr Psychiatric Physician Spec,Public Health,Community Health,474.75,366803.8,80471.64,447275.44
Medical Evaluations Assistant,Public Health,Community Health,4211.04,78767.17,21262.67,100029.84
Special Nurse,Public Health,Community Health,0.0,2782.92,751.78,3534.7
Special Nurse,Public Health,Community Health,83.44,13065.91,2771.19,15837.1
Home Health Aide,Public Health,Community Health,34881.62,91992.42,20644.1,112636.52
Behavioral Health Clinician,Public Health,Community Health,0.0,113212.73,31979.73,145192.46
Special Nurse,Public Health,Community Health,4714.59,75398.48,5794.27,81192.75
Health Care Analyst,Public Health,Community Health,0.0,99496.4,28056.48,127552.88
Registered Nurse,Public Health,Community Health,20767.93,174256.59,33602.07,207858.66
Special Nurse,Public Health,Community Health,18987.12,175796.28,2587.08,178383.36
Medical Evaluations Assistant,Public Health,Community Health,0.0,17880.7,4989.89,22870.59
Sr Behavioral Health Clinicn,Public Health,Community Health,0.0,122856.12,34616.64,157472.76
Medical Evaluations Assistant,Public Health,Community Health,6062.0,74741.73,19878.78,94620.51
Behavioral Health Clinician,Public Health,Community Health,0.0,106835.87,30116.95,136952.82
Behavioral Health Clinician,Public Health,Community Health,0.0,92703.14,26149.19,118852.33
Institution Utility Worker,Public Health,Community Health,23341.61,86538.91,20887.61,107426.52
Administrative Analyst,Public Health,Community Health,0.0,65134.2,20566.49,85700.69
Porter,Public Health,Community Health,6003.9,76200.0,19993.15,96193.15
Health Worker 3,Public Health,Community Health,0.0,44592.07,14143.08,58735.15
Special Nurse,Public Health,Community Health,1654.67,66971.65,5109.37,72081.02
Special Nurse,Public Health,Community Health,0.0,10326.62,2460.13,12786.75
Manager III,Public Health,Community Health,0.0,188555.96,53428.81,241984.77
Patient Accounts Asst Sprv,Public Health,Community Health,28869.23,127340.74,29771.28,157112.02
Special Nurse,Public Health,Community Health,2447.04,57599.26,6092.9,63692.16
Registered Nurse,Public Health,Community Health,16285.5,187819.78,41123.88,228943.66
Health Program Coordinator 1,Public Health,Community Health,0.0,34632.02,9869.28,44501.3
Special Nurse,Public Health,Community Health,0.0,16299.98,3508.85,19808.83
Epidemiologist 2,Public Health,Community Health,0.0,103382.12,28899.86,132281.98
Medical Record Technician,Public Health,Community Health,0.0,82591.76,23354.2,105945.96
Food Service Supervisor,Public Health,Community Health,17431.94,101143.2,24690.46,125833.66
Special Nurse,Public Health,Community Health,0.0,23274.69,1778.18,25052.87
Food Service Worker,Public Health,Community Health,9285.2,40110.81,10499.57,50610.38
Medical Evaluations Assistant,Public Health,Community Health,10959.52,63824.47,15643.94,79468.41
Porter,Public Health,Community Health,24750.88,56620.37,11723.07,68343.44
Porter,Public Health,Community Health,4284.93,50595.34,14611.37,65206.71
Clinical Pharmacist,Public Health,Community Health,0.0,186913.06,49625.28,236538.34
Special Nurse,Public Health,Community Health,2015.22,14319.35,3380.28,17699.63
Registered Nurse,Public Health,Community Health,22767.64,207178.91,48668.96,255847.87
Patient Care Assistant,Public Health,Community Health,5267.45,66800.25,19839.5,86639.75
Special Nurse,Public Health,Community Health,0.0,6646.42,1694.9,8341.32
Nurse Practitioner,Public Health,Community Health,0.0,237108.65,61133.97,298242.62
Special Nurse,Public Health,Community Health,1381.86,54082.31,4138.47,58220.78
Registered Nurse,Public Health,Community Health,0.0,176086.5,47728.52,223815.02
Special Nurse,Public Health,Community Health,1264.34,71084.67,5317.23,76401.9
Nutritionist,Public Health,Community Health,0.0,118272.1,33280.39,151552.49
Patient Care Assistant,Public Health,Community Health,18496.24,93769.23,22659.94,116429.17
Clerk,Public Health,Community Health,2061.56,72208.52,19918.97,92127.49
Senior Administrative Analyst,Public Health,Community Health,0.0,131832.89,36500.42,168333.31
Medical Evaluations Assistant,Public Health,Community Health,457.8,43098.93,11301.89,54400.82
Medical Evaluations Assistant,Public Health,Community Health,15376.83,88835.29,21766.66,110601.95
Health Care Analyst,Public Health,Community Health,0.0,87663.15,24781.98,112445.13
Medical Evaluations Assistant,Public Health,Community Health,3882.73,76584.26,20489.18,97073.44
Health Worker 1,Public Health,Community Health,15216.23,82153.81,20060.63,102214.44
Health Program Coordinator 2,Public Health,Community Health,0.0,74520.02,9786.64,84306.66
Special Nurse,Public Health,Community Health,10074.06,98094.54,16566.59,114661.13
Registered Nurse,Public Health,Community Health,5484.2,122773.36,31030.91,153804.27
Hospital Eligibility Worker,Public Health,Community Health,60.39,85525.69,24144.9,109670.59
Cook,Public Health,Community Health,42679.28,125915.73,26799.91,152715.64
Health Care Billing Clerk 2,Public Health,Community Health,0.0,86470.5,24398.93,110869.43
Health Worker 2,Public Health,Community Health,23.86,42876.88,11913.61,54790.49
Registered Nurse,Public Health,Community Health,112.2,152994.54,41566.5,194561.04
Patient Care Assistant,Public Health,Community Health,29773.03,91092.86,21641.88,112734.74
Public Relations Officer,Public Health,Community Health,0.0,9083.92,694.91,9778.83
Registered Nurse,Public Health,Community Health,672.8,74021.97,17350.56,91372.53
Health Worker 1,Public Health,Community Health,7168.41,66768.77,19377.02,86145.79
Special Nurse,Public Health,Community Health,1121.85,38016.79,2908.16,40924.95
Cook,Public Health,Community Health,4210.67,83653.21,22606.51,106259.72
Porter,Public Health,Community Health,406.35,16677.02,1344.04,18021.06
Licensed Vocational Nurse,Public Health,Community Health,0.0,32488.4,2476.99,34965.39
Human Resources Analyst,Public Health,Community Health,0.0,31103.8,8519.32,39623.12
Senior Personnel Clerk,Public Health,Community Health,0.0,80847.85,22207.95,103055.8
Health Care Analyst,Public Health,Community Health,0.0,17152.0,4739.6,21891.6
Nurse Practitioner,Public Health,Community Health,326.05,227135.26,57871.68,285006.94
"Diag Med Sonographer I,II,III",Public Health,Community Health,994.59,110174.15,25563.43,135737.58
Pharmacy Helper,Public Health,Community Health,1581.5,85860.06,23990.34,109850.4
Special Nurse,Public Health,Community Health,727.24,157761.36,12035.22,169796.58
Registered Nurse,Public Health,Community Health,0.0,165466.41,49498.93,214965.34
Special Nurse,Public Health,Community Health,0.0,19820.0,4469.75,24289.75
Special Nurse,Public Health,Community Health,0.0,8955.71,2196.84,11152.55
Registered Nurse,Public Health,Community Health,7737.07,147943.24,36893.96,184837.2
Porter,Public Health,Community Health,4725.45,74860.28,20221.64,95081.92
Special Nurse,Public Health,Community Health,0.0,144.66,38.91,183.57
"Radiologic Tech I, II, III",Public Health,Community Health,48.15,112995.01,31874.76,144869.77
Special Nurse,Public Health,Community Health,4634.98,93714.87,13478.99,107193.86
Registered Nurse,Public Health,Community Health,33651.55,184571.81,41093.52,225665.33
Registered Nurse,Public Health,Community Health,9407.48,156805.78,32881.2,189686.98
Special Nurse,Public Health,Community Health,0.0,75419.32,5763.33,81182.65
Special Nurse,Public Health,Community Health,5525.87,79220.39,13068.79,92289.18
Registered Nurse,Public Health,Community Health,12527.71,99119.62,17960.35,117079.97
Registered Nurse,Public Health,Community Health,4480.16,116721.64,31414.55,148136.19
Hospital Eligibility Worker,Public Health,Community Health,370.12,27138.55,2063.83,29202.38
Patient Care Assistant,Public Health,Community Health,11854.04,75560.45,21069.71,96630.16
Behavioral Health Team Leader,Public Health,Community Health,13567.21,101528.67,25902.04,127430.71
Health Worker 2,Public Health,Community Health,0.0,53672.35,13662.01,67334.36
Registered Nurse,Public Health,Community Health,1539.63,121440.55,31949.65,153390.2
Special Nurse,Public Health,Community Health,53118.33,257879.17,4028.9,261908.07
Pharmacist,Public Health,Community Health,8238.21,207557.71,52194.89,259752.6
Registered Nurse,Public Health,Community Health,12292.45,106642.06,14426.44,121068.5
Health Worker 2,Public Health,Community Health,0.0,121.94,9.33,131.27
Licensed Vocational Nurse,Public Health,Community Health,8676.53,106731.46,28692.13,135423.59
Registered Nurse,Public Health,Community Health,11877.84,166634.35,40929.14,207563.49
Health Program Coordinator 1,Public Health,Community Health,1382.91,74940.12,20341.28,95281.4
Special Nurse,Public Health,Community Health,507.25,85641.64,13507.73,99149.37
Patient Care Assistant,Public Health,Community Health,5828.99,83696.99,22510.98,106207.97
Behavioral Health Clinician,Public Health,Community Health,1523.94,105736.56,28675.15,134411.71
Patient Care Assistant,Public Health,Community Health,5980.74,78503.79,21000.94,99504.73
Food Service Mgr Administrator,Public Health,Community Health,0.0,120242.22,44575.47,164817.69
Registered Nurse,Public Health,Community Health,16299.0,161198.8,38627.84,199826.64
Environmental Health Inspector,Public Health,Community Health,0.0,121408.18,34138.95,155547.13
Porter,Public Health,Community Health,1520.44,71355.44,22228.98,93584.42
IS Engineer-Principal,Public Health,Community Health,0.0,212806.15,50853.62,263659.77
Licensed Vocational Nurse,Public Health,Community Health,12340.66,99397.77,25154.17,124551.94
Pharmacy Technician,Public Health,Community Health,0.0,42341.21,3368.36,45709.57
Special Nurse,Public Health,Community Health,19866.88,208866.73,7014.33,215881.06
Special Nurse,Public Health,Community Health,0.0,23119.69,5344.63,28464.32
Public Service Trainee,Public Health,Community Health,0.0,5375.1,1219.81,6594.91
Medical Evaluations Assistant,Public Health,Community Health,69.36,57929.5,18217.75,76147.25
Special Nurse,Public Health,Community Health,4506.93,69003.37,5240.81,74244.18
Manager II,Public Health,Community Health,5080.96,92905.36,7911.93,100817.29
Porter,Public Health,Community Health,29358.83,99827.23,22079.55,121906.78
Special Nurse,Public Health,Community Health,0.0,2516.69,656.4,3173.09
IS Business Analyst-Principal,Public Health,Community Health,0.0,163909.84,43923.97,207833.81
Nurse Practitioner,Public Health,Community Health,4748.66,93096.91,23466.07,116562.98
Special Nurse,Public Health,Community Health,0.0,1303.71,316.39,1620.1
Patient Care Assistant,Public Health,Community Health,3241.47,65307.67,19827.21,85134.88
Patient Care Assistant,Public Health,Community Health,2272.93,55875.12,15094.23,70969.35
Special Nurse,Public Health,Community Health,0.0,25361.78,5932.19,31293.97
IS Business Analyst,Public Health,Community Health,625.15,94162.26,26408.09,120570.35
Patient Care Assistant,Public Health,Community Health,13625.15,85322.01,21261.16,106583.17
Licensed Vocational Nurse,Public Health,Community Health,17012.96,59705.82,13378.87,73084.69
Registered Nurse,Public Health,Community Health,16189.05,148461.93,36772.29,185234.22
Patient Care Assistant,Public Health,Community Health,2698.2,54195.11,14617.59,68812.7
Occupational Therapist,Public Health,Community Health,0.0,96027.71,27435.08,123462.79
Social Worker,Public Health,Community Health,0.0,77538.53,21586.31,99124.84
Special Nurse,Public Health,Community Health,0.0,28447.23,6405.73,34852.96
Special Nurse,Public Health,Community Health,60094.31,163413.14,12461.53,175874.67
Special Nurse,Public Health,Community Health,4866.86,136408.66,10416.91,146825.57
Sr Behavioral Health Clinicn,Public Health,Community Health,0.0,122923.6,34687.23,157610.83
Registered Nurse,Public Health,Community Health,12742.82,171572.28,43011.92,214584.2
Special Nurse,Public Health,Community Health,0.0,78276.84,5980.42,84257.26
Medical Social Worker,Public Health,Community Health,0.0,94598.51,26609.64,121208.15
Special Nurse,Public Health,Community Health,4910.82,25975.0,5703.5,31678.5
Behavioral Health Clinician,Public Health,Community Health,0.0,92114.41,20047.65,112162.06
Food Service Worker,Public Health,Community Health,13124.11,42456.51,10248.26,52704.77
Sr Behavioral Health Clinicn,Public Health,Community Health,0.0,120911.44,34122.64,155034.08
Special Nurse,Public Health,Community Health,1531.79,123722.99,9444.93,133167.92
Senior Administrative Analyst,Public Health,Community Health,0.0,102663.11,28952.41,131615.52
Patient Care Assistant,Public Health,Community Health,8722.64,61417.89,12437.93,73855.82
Registered Nurse,Public Health,Community Health,5007.09,95780.74,15777.21,111557.95
Registered Nurse,Public Health,Community Health,25663.81,185001.85,35600.28,220602.13
Registered Nurse,Public Health,Community Health,6760.85,162324.3,43686.5,206010.8
Special Nurse,Public Health,Community Health,185.12,39738.19,7927.87,47666.06
Epidemiologist 2,Public Health,Community Health,0.0,88280.47,24887.03,113167.5
Registered Nurse,Public Health,Community Health,8939.57,184865.68,17512.36,202378.04
Special Nurse,Public Health,Community Health,0.0,1429.73,291.68,1721.41
Radiologic Technologist Lead,Public Health,Community Health,0.0,152646.71,42077.04,194723.75
Registered Nurse,Public Health,Community Health,321.15,160174.7,40757.51,200932.21
Behavioral Health Clinician,Public Health,Community Health,0.0,99949.92,32219.98,132169.9
Patient Care Assistant,Public Health,Community Health,1306.52,25645.26,7122.16,32767.42
Registered Nurse,Public Health,Community Health,236.7,168356.07,44981.28,213337.35
Health Worker 2,Public Health,Community Health,0.0,68054.2,19295.31,87349.51
Special Nurse,Public Health,Community Health,3027.11,34509.82,2651.51,37161.33
Medical Social Worker,Public Health,Community Health,0.0,56767.1,12480.04,69247.14
Physician Specialist,Public Health,Community Health,902.54,148552.56,39543.13,188095.69
Patient Care Assistant,Public Health,Community Health,28161.78,103975.99,23343.1,127319.09
Physician Specialist,Public Health,Community Health,0.0,1710.69,424.12,2134.81
Health Care Analyst,Public Health,Community Health,0.0,107438.6,30074.61,137513.21
IS Business Analyst,Public Health,Community Health,0.0,93537.11,26363.31,119900.42
IS Business Analyst,Public Health,Community Health,0.0,93537.11,25903.96,119441.07
Sr Behavioral Health Clinicn,Public Health,Community Health,0.0,122923.74,34687.24,157610.98
Occupational Therapist,Public Health,Community Health,0.0,135681.27,37372.68,173053.95
Special Nurse,Public Health,Community Health,183.53,67078.34,10868.44,77946.78
Registered Nurse,Public Health,Community Health,10949.03,186658.29,37402.94,224061.23
Registered Nurse,Public Health,Community Health,70947.07,249122.8,41651.1,290773.9
Patient Care Assistant,Public Health,Community Health,55055.77,115314.07,17237.45,132551.52
Special Nurse,Public Health,Community Health,1263.06,32010.77,539.43,32550.2
Medical Evaluations Assistant,Public Health,Community Health,46.43,59844.43,18902.91,78747.34
Special Nurse,Public Health,Community Health,4415.78,33839.96,2592.25,36432.21
Registered Nurse,Public Health,Community Health,16551.76,146307.74,33560.95,179868.69
Behavioral Health Clinician,Public Health,Community Health,0.0,99820.56,28142.12,127962.68
Special Nurse,Public Health,Community Health,0.0,15300.72,3526.26,18826.98
Registered Nurse,Public Health,Community Health,1729.27,164709.21,32596.28,197305.49
Porter,Public Health,Community Health,782.7,50943.52,14376.44,65319.96
Hospital Eligibility Worker,Public Health,Community Health,0.0,56746.8,15984.21,72731.01
Registered Nurse,Public Health,Community Health,20013.64,156167.08,34240.93,190408.01
Licensed Vocational Nurse,Public Health,Community Health,139.73,72188.91,14524.07,86712.98
Licensed Vocational Nurse,Public Health,Community Health,16154.32,83212.43,20028.35,103240.78
Special Nurse,Public Health,Community Health,245.24,34034.53,2602.91,36637.44
Behavioral Health Clinician,Public Health,Community Health,3031.69,102521.45,22768.93,125290.38
Epidemiologist 2,Public Health,Community Health,0.0,130056.61,36644.37,166700.98
Patient Care Assistant,Public Health,Community Health,71501.85,157613.48,28432.44,186045.92
Hospital Eligibility Worker,Public Health,Community Health,24.0,35638.66,9515.12,45153.78
Patient Care Assistant,Public Health,Community Health,4838.91,84365.41,22808.55,107173.96
Storekeeper,Public Health,Community Health,5190.83,42519.68,10937.62,53457.3
Medical Record Technician,Public Health,Community Health,4107.39,92213.6,25175.0,117388.6
Special Nurse,Public Health,Community Health,89.03,12841.67,2996.68,15838.35
Special Nurse,Public Health,Community Health,0.0,21571.86,1659.78,23231.64
Health Program Coordinator 3,Public Health,Community Health,0.0,126617.5,35340.42,161957.92
Health Care Billing Clerk 1,Public Health,Community Health,0.0,78993.13,22220.54,101213.67
Psychiatric Technician,Public Health,Community Health,12425.89,103251.81,26614.73,129866.54
Registered Nurse,Public Health,Community Health,5537.55,102556.35,27377.15,129933.5
Health Worker 2,Public Health,Community Health,0.0,18850.47,3282.5,22132.97
Sterile Processing & Dist Tech,Public Health,Community Health,5133.12,100941.32,27405.84,128347.16
Health Program Coordinator 3,Public Health,Community Health,0.0,126343.69,35486.16,161829.85
Special Nurse,Public Health,Community Health,0.0,3688.5,849.37,4537.87
Senior Clerk,Public Health,Community Health,0.0,55988.86,17709.18,73698.04
Porter,Public Health,Community Health,35285.06,102484.31,23468.99,125953.3
Special Nurse,Public Health,Community Health,0.0,4870.1,1221.41,6091.51
Payroll and Personnel Clerk,Public Health,Community Health,13440.11,90546.64,22843.99,113390.63
Health Worker 3,Public Health,Community Health,6138.08,80674.73,21487.86,102162.59
Special Nurse,Public Health,Community Health,1586.7,151709.81,7494.11,159203.92
Nurse Practitioner,Public Health,Community Health,10856.86,246844.11,59925.97,306770.08
Manager II,Public Health,Community Health,0.0,173665.04,58808.88,232473.92
Registered Nurse,Public Health,Community Health,95043.49,251993.11,43695.81,295688.92
Patient Care Assistant,Public Health,Community Health,3655.44,76319.58,20437.75,96757.33
Porter,Public Health,Community Health,10081.45,79616.13,20389.61,100005.74
"BdComm Mbr, Grp5,M$100/Mo",Recreation And Park Commission,Culture & Recreation,0.0,1100.0,83.88,1183.88
Swimming Instructor,Recreation And Park Commission,Culture & Recreation,0.0,4082.23,1267.46,5349.69
Recreation Leader,Recreation And Park Commission,Culture & Recreation,0.0,21189.69,1623.64,22813.33
Recreation Leader,Recreation And Park Commission,Culture & Recreation,0.0,14663.86,1125.93,15789.79
Swimming Instructor,Recreation And Park Commission,Culture & Recreation,0.0,2478.83,191.01,2669.84
Recreation Leader,Recreation And Park Commission,Culture & Recreation,0.0,3919.16,300.17,4219.33
Apprentice Gardener,Recreation And Park Commission,Culture & Recreation,440.89,46206.7,13478.01,59684.71
Camp Assistant,Recreation And Park Commission,Culture & Recreation,0.0,616.42,46.81,663.23
Pool Lifeguard,Recreation And Park Commission,Culture & Recreation,0.0,1812.0,137.63,1949.63
Clerk,Registrar,General Administration & Finance,1669.08,14150.31,1074.72,15225.03
Deputy Sheriff,Sheriff,Public Protection,6498.79,143294.25,79022.55,222316.8
Senior Administrative Analyst,Recreation And Park Commission,Culture & Recreation,0.0,127162.21,35868.58,163030.79
Recreation Leader,Recreation And Park Commission,Culture & Recreation,0.0,25777.19,1961.2,27738.39
Gardener,Recreation And Park Commission,Culture & Recreation,1657.47,84162.1,23177.34,107339.44
Gardener,Recreation And Park Commission,Culture & Recreation,0.0,82270.4,23171.18,105441.58
Gardener,Recreation And Park Commission,Culture & Recreation,10130.36,96803.99,25166.53,121970.52
Junior Administrative Analyst,Recreation And Park Commission,Culture & Recreation,4215.84,78664.27,20472.67,99136.94
Gardener,Recreation And Park Commission,Culture & Recreation,80.83,76399.13,21494.12,97893.25
Recreation Leader,Recreation And Park Commission,Culture & Recreation,0.0,20035.32,1532.32,21567.64
Camp Assistant,Recreation And Park Commission,Culture & Recreation,0.0,6013.02,460.35,6473.37
Public Service Trainee,Recreation And Park Commission,Culture & Recreation,0.0,2223.0,172.54,2395.54
Public Service Trainee,Recreation And Park Commission,Culture & Recreation,0.0,252.0,19.14,271.14
Public Service Trainee,Recreation And Park Commission,Culture & Recreation,0.0,720.0,54.69,774.69
Public Service Trainee,Recreation And Park Commission,Culture & Recreation,0.0,72.0,5.46,77.46
Clerk,Registrar,General Administration & Finance,6981.46,45372.7,5476.85,50849.55
Junior Clerk,Registrar,General Administration & Finance,507.89,1529.83,116.19,1646.02
Deputy Sheriff,Sheriff,Public Protection,71014.06,210950.33,83557.63,294507.96
Deputy Sheriff,Sheriff,Public Protection,11205.52,148128.28,81195.85,229324.13
Deputy Sheriff,Sheriff,Public Protection,0.0,10243.45,2496.15,12739.6
Deputy Sheriff,Sheriff,Public Protection,2471.72,20024.57,8088.43,28113.0
Stores & Equip Asst Sprv,Sheriff,Public Protection,10671.12,112471.23,29034.5,141505.73
Deputy Sheriff (SFERS),Sheriff,Public Protection,19134.94,124369.36,23037.72,147407.08
Cable Splicer,Department of Technology,General Administration & Finance,3413.86,131342.68,36291.99,167634.67
IS Business Analyst-Principal,Department of Technology,General Administration & Finance,0.0,161994.71,44009.13,206003.84
Cable Splicer,Department of Technology,General Administration & Finance,766.24,132580.95,36740.06,169321.01
Senior Management Assistant,Department of Technology,General Administration & Finance,389.4,78922.61,22234.97,101157.58
Dep Dir III,Treasurer/Tax Collector,General Administration & Finance,0.0,205353.14,69204.11,274557.25
Treasurer,Treasurer/Tax Collector,General Administration & Finance,0.0,209749.01,64172.19,273921.2
Principal Account Clerk,Treasurer/Tax Collector,General Administration & Finance,51.19,94602.77,26354.19,120956.96
Dep Dir II,War Memorial,Culture & Recreation,0.0,116612.02,33174.75,149786.77
Sheriff's Property Keeper,Sheriff,Public Protection,0.0,577.75,44.84,622.59
IS Engineer-Senior,Department of Technology,General Administration & Finance,0.0,178601.68,45323.76,223925.44
IS Engineer-Journey,Department of Technology,General Administration & Finance,0.0,136304.81,38468.12,174772.93
IT Operations Support Admin II,Department of Technology,General Administration & Finance,8994.76,100738.77,26240.94,126979.71
Bldg & Grounds Patrol Officer,War Memorial,Culture & Recreation,6701.32,88281.76,23583.4,111865.16
